Round: 2

Player:
  white: AlphaBetaPruning(name=Trained Cache, max_states=25000, symmetry=True, weights=HeuristicWeights(stones=3, stash=3, mills=2, possible_mills=1))
  black: AlphaBetaPruning(name=New Cache, max_states=25000, symmetry=True, weights=HeuristicWeights(stones=3, stash=3, mills=2, possible_mills=1))

Result:
  remis: 0
  white: 1
  black: 0

Match 1:
  Winner: 'w'
  Reason: A player won the match
  Log:
      1. ((9, 9), ((' ', ' ', ' ', ' ', ' ', ' ', ' ', ' '), (' ', ' ', ' ', ' ', ' ', ' ', ' ', ' '), (' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ')))
      2. ((8, 9), (('w', ' ', ' ', ' ', ' ', ' ', ' ', ' '), (' ', ' ', ' ', ' ', ' ', ' ', ' ', ' '), (' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ')))
      3. ((8, 8), (('w', ' ', ' ', ' ', ' ', 'b', ' ', ' '), (' ', ' ', ' ', ' ', ' ', ' ', ' ', ' '), (' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ')))
      4. ((7, 8), (('w', ' ', ' ', ' ', ' ', 'b', ' ', ' '), (' ', ' ', ' ', ' ', ' ', ' ', ' ', ' '), (' ', 'w', ' ', ' ', ' ', ' ', ' ', ' ')))
      5. ((7, 7), (('w', ' ', ' ', ' ', ' ', 'b', 'b', ' '), (' ', ' ', ' ', ' ', ' ', ' ', ' ', ' '), (' ', 'w', ' ', ' ', ' ', ' ', ' ', ' ')))
      6. ((6, 7), (('w', ' ', ' ', ' ', 'w', 'b', 'b', ' '), (' ', ' ', ' ', ' ', ' ', ' ', ' ', ' '), (' ', 'w', ' ', ' ', ' ', ' ', ' ', ' ')))
      7. ((6, 6), (('w', ' ', ' ', ' ', 'w', 'b', 'b', ' '), (' ', ' ', ' ', ' ', ' ', 'b', ' ', ' '), (' ', 'w', ' ', ' ', ' ', ' ', ' ', ' ')))
      8. ((5, 6), (('w', ' ', ' ', ' ', 'w', 'b', 'b', ' '), (' ', ' ', ' ', ' ', ' ', 'b', ' ', ' '), (' ', 'w', ' ', ' ', ' ', 'w', ' ', ' ')))
      9. ((5, 5), (('w', ' ', ' ', ' ', 'w', 'b', 'b', ' '), (' ', ' ', ' ', ' ', 'b', 'b', ' ', ' '), (' ', 'w', ' ', ' ', ' ', 'w', ' ', ' ')))
     10. ((4, 5), (('w', ' ', ' ', ' ', 'w', 'b', 'b', ' '), (' ', ' ', ' ', ' ', 'b', 'b', 'w', ' '), (' ', 'w', ' ', ' ', ' ', 'w', ' ', ' ')))
     11. ((4, 4), (('w', ' ', ' ', ' ', 'w', 'b', 'b', ' '), (' ', ' ', ' ', 'b', 'b', 'b', 'w', ' '), (' ', 'w', ' ', ' ', ' ', 'w', ' ', ' ')))
     12. ((3, 4), (('w', ' ', ' ', ' ', 'w', 'b', 'b', ' '), (' ', ' ', 'w', 'b', 'b', 'b', 'w', ' '), (' ', 'w', ' ', ' ', ' ', 'w', ' ', ' ')))
     13. ((3, 3), (('w', ' ', ' ', 'b', 'w', 'b', 'b', ' '), (' ', ' ', 'w', 'b', 'b', 'b', 'w', ' '), (' ', 'w', ' ', ' ', ' ', 'w', ' ', ' ')))
     14. ((2, 3), (('w', ' ', ' ', 'b', 'w', 'b', 'b', ' '), (' ', ' ', 'w', 'b', 'b', 'b', 'w', ' '), (' ', 'w', ' ', 'w', ' ', 'w', ' ', ' ')))
     15. ((2, 2), (('w', ' ', ' ', 'b', 'w', 'b', 'b', ' '), (' ', 'b', 'w', 'b', 'b', 'b', 'w', ' '), (' ', 'w', ' ', 'w', ' ', 'w', ' ', ' ')))
     16. ((1, 2), (('w', ' ', ' ', 'b', 'w', 'b', 'b', ' '), (' ', 'b', 'w', 'b', 'b', 'b', 'w', ' '), (' ', 'w', ' ', 'w', 'w', 'w', ' ', ' ')))
     17. ((1, 1), (('w', ' ', ' ', 'b', 'w', 'b', 'b', ' '), (' ', 'b', 'w', 'b', 'b', 'b', 'w', ' '), (' ', 'w', ' ', 'w', 'w', 'w', 'b', ' ')))
     18. ((0, 1), (('w', ' ', ' ', 'b', 'w', 'b', 'b', ' '), ('w', 'b', 'w', 'b', 'b', 'b', 'w', ' '), (' ', 'w', ' ', 'w', 'w', 'w', 'b', ' ')))
     19. ((0, 0), (('w', ' ', ' ', 'b', 'w', 'b', 'b', ' '), ('w', 'b', 'w', 'b', 'b', 'b', 'w', 'b'), (' ', 'w', ' ', 'w', 'w', 'w', 'b', ' ')))
     20. ((0, 0), (('w', ' ', ' ', 'b', 'w', 'b', 'b', ' '), ('w', 'b', 'w', 'b', 'b', 'b', 'w', ' '), (' ', ' ', 'w', 'w', 'w', 'w', 'b', ' ')))
